LName,FName,MI,ANumber,Grad year,Sex,LVL,College,Degree,Program,Major1,Major2,Minor1,Minor2,Conc1,Conc2,Salary,Loans,StartDate,GraduatedAtUindy
Howell,Henrietta,U,A00974642,201020,M,U,BN,BS,BS-BN,AACT,,,,,,68,13,200620,0
Parsons,Sadie,I,A00985356,201020,M,U,BN,BS,BS-BN,AACT,,,,,,45,58,200820,1
Adkins,Adele,U,A00961917,201120,M,U,BN,BS,BS-BN,AACT,,,,,,50,26,200820,0
Blair,Eva,X,A00946665,201110,F,U,BN,BS,BS-BN,AACT,,,,,,36,40,200510,1
Reese,Joshua,H,A00961333,201220,M,U,BN,BS,BS-BN,AACT,,,,,,52,74,200620,1
Nash,Melvin,W,A00973330,201210,M,U,BN,BS,BS-BN,AACT,,,,,,36,26,200910,1
Snyder,Jessie,B,A00935474,201210,F,U,BN,BS,BS-BN,AACT,,,,,,49,72,200710,1
Lane,Martin,D,A00990658,201320,M,U,BN,BS,BS-BN,AACT,,,,,,50,53,201220,1
Lamb,Harriett,H,A00945355,201320,F,U,BN,BS,BS-BN,AACT,,,,,,59,88,200820,1
Figueroa,Steve,G,A00979395,201320,F,U,BN,BS,BS-BN,AACT,,,,,,56,39,200820,0
Lindsey,Beatrice,R,A00952352,201420,M,U,BN,BS,BS-BN,AACT,,,,,,74,14,201220,0
Woods,Lilly,D,A00999401,201420,F,U,BN,BS,BS-BN,AACT,,,,,,40,23,201220,1
Allison,Susie,L,A00976128,201420,M,U,BN,BS,BS-BN,AACT,,,,,,45,37,200920,1
Cummings,Chad,Z,A00972578,201520,M,U,BN,BS,BS-BN,AACT,,,,,,37,50,201020,1
Rhodes,Lawrence,R,A00922211,201510,M,U,BN,BS,BS-BN,AACT,,,,,,40,34,201210,0
Carpenter,Carolyn,E,A00976720,201520,F,U,BN,BS,BS-BN,AACT,,,,,,59,77,201420,0
Sherman,Ruby,F,A00940930,201620,F,U,BN,BS,BS-BN,AACT,,,,,,49,59,201320,0
Frazier,Gary,C,A00975820,201620,F,U,BN,BS,BS-BN,AACT,,,,,,43,97,201220,0
West,Cordelia,F,A00958904,201620,M,U,BN,BS,BS-BN,AACT,,,,,,52,22,201520,1
Marshall,Elva,F,A00981060,201720,M,U,BN,BS,BS-BN,AACT,,,,,,48,42,201420,1
Barker,Lou,F,A00984051,201710,F,U,BN,BS,BS-BN,AACT,,,,,,55,42,201410,0
Stokes,Edith,L,A00939555,201710,M,U,BN,BS,BS-BN,AACT,,,,,,35,96,201610,1
Scott,Adele,U,A00955665,201710,M,U,BN,BS,BS-BN,AACT,,,,,,53,12,201210,0
Smith,Curtis,F,A00910285,201720,M,U,BN,BS,BS-BN,AACT,,,,,,25,42,201520,0
Kelley,Eddie,R,A00992815,201020,F,U,BN,BS,BS-BN,ACPA,,,,,,59,17,200420,0
Porter,Shawn,P,A00957369,201020,M,U,BN,BS,BS-BN,ACPA,,,,,,46,52,200520,1
Kelly,Dale,W,A00945440,201020,M,U,BN,BS,BS-BN,ACPA,FIN,,,HON,,59,45,200920,1
Bennett,Mittie,B,A00998709,201020,M,U,BN,BS,BS-BN,ACPA,FIN,,,HON,,52,14,200920,1
Luna,Louisa,Q,A00972698,201020,M,U,BN,BA,BA-BN,ACPA,SPAN,ENPW,,,,46,17,200620,1
Wood,Robert,G,A00988480,201020,F,U,BN,BS,BS-BN,ACPA,,,,,,45,100,200820,1
Webster,Sophia,Z,A00966145,201020,F,U,BN,BS,BS-BN,ACPA,,,,,,46,51,200920,1
Cain,Amelia,C,A00991177,201020,M,U,BN,BS,BS-BN,ACPA,,,,,,46,11,200820,1
